College,Season,Coach,username,Coach,Role,Race
Air Force,2015,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach,White
Air Force,2015,Tim Cross,tim-cross,Tim Cross,Defensive Line Coach,#N/A
Air Force,2015,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2016,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2016,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Line Coach/Associate Head Coach,White
Air Force,2016,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2016,Jake Moreland,jake-moreland,Jake Moreland,Wide Receivers Coach,Black
Air Force,2016,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Backs Coach,White
Air Force,2016,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2016,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2016,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2016,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Tight Ends Coach,White
Air Force,2016,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach,White
Air Force,2016,Tim Cross,tim-cross,Tim Cross,Defensive Line Coach,#N/A
Air Force,2016,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2017,Bart Miller,bart-miller,Bart Miller,Tight Ends Coach,White
Air Force,2017,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2017,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2017,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Backs Coach,White
Air Force,2017,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2017,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2017,Nick Toth,nick-toth,Nick Toth,Nickels Coach/Spurs Coach,White
Air Force,2017,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2017,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Offensive Line Coach,White
Air Force,2017,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach,White
Air Force,2017,Taylor Stubblefield,taylor-stubblefield,Taylor Stubblefield,Wide Receivers Coach,Black
Air Force,2017,Tim Cross,tim-cross,Tim Cross,Defensive Line Coach/Assistant Head Coach,Black
Air Force,2017,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2018,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2018,Brian Knorr,brian-knorr,Brian Knorr,Spurs Coach,White
Air Force,2018,Chip Vaughn,chip-vaughn,Chip Vaughn,Defensive Backs Coach,#N/A
Air Force,2018,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2018,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Coordinator/Defensive Backs Coach,White
Air Force,2018,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2018,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2018,Nick Jones,nick-jones,Nick Jones,Tight Ends Coach,Black
Air Force,2018,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2018,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Offensive Line Coach,White
Air Force,2018,Taylor Stubblefield,taylor-stubblefield,Taylor Stubblefield,Wide Receivers Coach,Black
Air Force,2018,Tim Cross,tim-cross,Tim Cross,Defensive Line Coach/Assistant Head Coach,Black
Air Force,2018,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2019,Ari Confesor,ari-confessor,Ari Confesor,Wide Receivers Coach,#N/A
Air Force,2019,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2019,Brian Knorr,brian-knorr,Brian Knorr,Outside Linebackers Coach,White
Air Force,2019,Chip Vaughn,chip-vaughn,Chip Vaughn,Defensive Backs Coach,#N/A
