"","College","Season","Coach","username","Coach.1","Role","Race"
"183","Army",2009,"Ian Shields","ian-shields","Ian Shields","Offensive Coordinator/Quarterbacks Coach","White"
"184","Army",2010,"Ian Shields","ian-shields","Ian Shields","Offensive Coordinator/Quarterbacks Coach","White"
"185","Army",2011,"Ian Shields","ian-shields","Ian Shields","Offensive Coordinator/Quarterbacks Coach","White"
"186","Army",2012,"Ian Shields","ian-shields","Ian Shields","Offensive Coordinator/Quarterbacks Coach","White"
"187","Army",2014,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"188","Army",2015,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"189","Army",2016,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"190","Army",2017,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"191","Army",2018,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"192","Army",2019,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"193","Army",2020,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"194","Army",2021,"Brent Davis","brent-davis","Brent Davis","Offensive Coordinator/Offensive Line Coach","White"
"195","Auburn",2000,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"196","Auburn",2001,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"197","Auburn",2002,"Bobby Petrino","bobby-petrino","Bobby Petrino","Offensive Coordinator/Quarterbacks Coach","White"
"198","Auburn",2003,"Hugh Nall","hugh-nall","Hugh Nall","Offensive Coordinator/Offensive Line Coach","White"
"199","Auburn",2004,"Al Borges","al-borges","Al Borges","Offensive Coordinator/Quarterbacks Coach","White"
"200","Auburn",2005,"Al Borges","al-borges","Al Borges","Offensive Coordinator/Quarterbacks Coach","White"
