"","Coach","Race"
"766","Dale Lindsey","White"
"767","Larry Coyer","White"
"768","Zane Vance","White"
"769","Ken Browning","White"
"770","John Gutekunst","White"
"771","Chuck Pagano","White"
"772","Tommy Thigpen","Black"
"773","Gary DeLoach","White"
"774","Kenny Evans","White"
"775","Fred Bleil","White"
"776","Ron Mendoza","White"
"777","Jon Skladany","White"
"778","Denny Doornbos","White"
"779","Jay Niemann","White"
"780","Kevin Kane","White"
"781","Jeff Knowles","White"
"782","Jerry Brown","White"
"783","Jim O'Neil","White"
"784","Corwin Brown","Black"
"785","Kerry Cooks","Black"
"786","Jim Burrow","White"
"787","Pete Germano","White"
"788","Jim Heacock","White"
"789","Alex Grinch","White"
"790","Kerry Coombs","White"
"791","Bill Clay","White"
"792","Rich Nagy","White"
"793","Grady Brown","Black"
"794","Don Lindsey","White"
"795","Chuck Driesbach","White"
"796","Wesley McGriff","Black"
"797","Jason Jones","Black"
"798","Chris Partridge","White"
"799","Nick Aliotti","White"
"800","Don Pellum","Black"
"801","Joe Salave'a","Other"
"802","Keith Heyward","Black"
"803","Tom Bradley","White"
"804","John Butler","White"
"805","Anthony Poindexter","Black"
"806","Brock Spack","White"
"807","Donn Landholm","White"
"808","Gary Emanuel","Black"
"809","Nick Holt","White"
"810","Roger Hinshaw","White"
"811","Chris Thurmond","White"
"812","Brian Smith","White"
"813","Dennis Creehan","White"
"814","Paul Ferraro","White"
"815","Bob Fraser","White"
"816","Dave Cohen","White"
"817","Bill Busch","White"
"818","Noah Joseph","White"
"819","Ken Delgado","?"
"820","Kurt Mattix","White"
"821","Paul Arslanian","White"
"822","Chris Wilkerson","White"
"823","Tom Williams","Black"
"824","Derrick Odum","Black"
"825","Eric Schumann","White"
"826","Jim Gush","White"
"827","Van Malone","Black"
"828","Kevin Sherrer","White"
"829","Travis Pearson","Black"
"830","Brian Turner","White"
"831","Travaris Robinson","Black"
"832","Clayton White","Black"
"833","Derek Nicholson","Black"
"834","Austin Armstrong","White"
"835","Ron Lynn","White"
"836","Vic Fangio","White"
"837","Jason Tarver","White"
"838","Lance Anderson","White"
"839","Steve Russ","White"
"840","Derrick Jackson","Black"
"841","Chuck Bullough","White"
"842","Tony White","Black"
"843","Chad Glasgow","White"
"844","Raymond Monica","White"
"845","Monte Kiffin","White"
"846","Sal Sunseri","White"
"847","Derrick Ansley","Black"
"848","Coleman Hutzler","White"
"849","Jeff Choate","White"
"850","Archie McDaniel","Black"
"851","Zac Spavital","White"
"852","Mike Smith","White"
"853","Lou West","Black"
"854","Paul Nichols","White"
"855","Tom Matukewicz","White"
"856","Vince Kehres","White"
"857","Jeremy Rowell","White"
"858","Ricky Logo","Other"
"859","Mike Pelton","Black"
"860","Brandon Hall","White"
"861","Pete McGinnis","White"
"862","O'Neill Gilbert","Black"
"863","Lionel Washington","Black"
"864","Jason Rollins","Black"
"865","Chris Hampton","Black"
"866","Jeff McInerney","White"
"867","Mark Nelson","White"
"868","Joseph Gillespie","White"
"869","Rick Christophel","White"
"870","Reggie Johnson","Black"
"871","Duwan Walker","Black"
"872","David Reeves","White"
"873","Bill D'Ottavio","White"
"874","Lance Thompson","White"
"875","Chuck Bresnahan","White"
"876","Travis Williams","Black"
"877","Bobby Field","White"
"878","Lou Spanos","White"
"879","Jeff Ulbrich","White"
"880","Mike Toop","White"
"881","Kent Briggs","White"
"882","Vincent Brown","Black"
"883","Billy Crocker","White"
"884","Zac Alley","White"
"885","Kurt Barber","Black"
"886","Kraig Paulson","White"
"887","J.D. Williams","Black"
"888","Tim Hauck","White"
"889","Tim Skipper","Black"
"890","Peter Hansen","White"
"891","Rocky Seto","Other"
"892","Raymond Woodie","Black"
"893","Brian Jean-Mary","Black"
"894","John Pease","White"
"895","Morgan Scalley","White"
"896","David Kotulski","White"
"897","Mark Johnson","White"
"898","Frank Maile","Other"
"899","Kendrick Shaver","Black"
"900","Justin Ena","White"
"901","Stacy Collins","White"
"902","Bob Wagner","White"
