"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa421","John Thompson","Arkansas State","White",-0.0475579708038608,-0.0191523486497968,0.020024338357837,-0.0591893852736706
"mean_ppa422","John Thompson","Ole Miss","White",-0.0171766956398182,-0.0379200995846284,0.0341815383508192,-0.0271348906816465
"mean_ppa423","John Thompson","Texas State","White",-0.109668295672152,-0.0133392568273828,0.0320672276489543,-0.0261890521027531
"mean_ppa424","Jon Heacock","Iowa State","White",0.0404513986201735,0.0521303443609187,-0.0434294982200195,0.0348025940783689
"mean_ppa425","Jon Heacock","Toledo","White",-0.00717077081275894,0.0339071704645718,-0.0542181350930775,0.0545341572163296
"mean_ppa426","Jon Hoke","Maryland","White",-0.0351301159991062,0.019071055085209,-0.0117287369933662,0.00106375173308781
"mean_ppa427","Jon Hoke","South Carolina","White",-0.156539087429889,-0.0425237756954986,0.0465660588465085,-0.0455093360509022
"mean_ppa428","Jon Skladany","North Texas","White",-0.0252670386053222,0.00335951072588514,-0.0185968855594176,-0.0118745456950316
"mean_ppa429","Jon Sumrall","Kentucky","White",-0.0208288177777372,-0.0193178839894561,-0.0112579215494648,-0.0754418527407033
"mean_ppa430","Jon Sumrall","Tulane","White",0.00503981842986229,0.0275608100445887,-0.098627126071284,0.00632050410105073
"mean_ppa431","Jon Tenuta","Notre Dame","White",-0.0854555197796624,-0.0212320824527524,-0.0491902588335337,-0.064022582072217
"mean_ppa432","Jon Tenuta","Virginia","White",-0.129801004493691,-0.0628730666264204,0.0149713546843142,-0.0558306392385676
"mean_ppa433","Jordan Lesley","West Virginia","White",0.0656182380860409,0.0526212161902709,0.00804581627075154,0.0373716908396452
"mean_ppa434","Jordan Peterson","New Mexico","White",-0.0578847504143294,-0.00349533578422762,-0.0107621176585879,-0.00242426570391829
"mean_ppa435","Joseph Gillespie","Tulsa","White",0.0795399838432586,0.0448077694590028,-0.0338593479500318,0.0361028874305169
"mean_ppa436","Josh Conklin","Florida International","White",-0.0809030831606155,-0.0238256040865389,0.0377890100255553,-0.01699336675026
"mean_ppa437","Josh Conklin","Pittsburgh","White",-0.0751477565486626,-0.0025102664835398,0.00811257688253847,-0.00101442542671343
"mean_ppa438","Justin Ena","Utah State","?",-0.102966355585098,-0.058790586066036,0.020180259588887,-0.0761949914411788
"mean_ppa439","Justin Hamilton","Virginia Tech","?",-0.121007565312237,-0.0745605519511682,0.0617997532288774,-0.0526147453895371
"mean_ppa440","Justin Wilcox","Boise State","White",0.0409970740737589,0.00767992475322166,-0.0374755027165579,0.024639654324901
"mean_ppa441","Justin Wilcox","Tennessee","White",0.00346489288136713,-0.00628263983024302,-0.0155587988414506,-0.0097475608792944
"mean_ppa442","Justin Wilcox","USC","White",-0.0828061189993738,-0.018587296845456,0.00175667404682733,-0.0314044571023955
"mean_ppa443","Justin Wilcox","Washington","White",0.0959312811713359,0.0489903993420996,0.066929253402413,0.083119067628725
"mean_ppa444","Justin Wilcox","Wisconsin","White",-0.0083803834106602,-0.0276179205035403,-0.00918923252404963,-0.0332989152489848
"mean_ppa445","Kalani Sitake","Oregon State","Other",-0.134536666651488,-0.0982932720678938,0.0712490599854478,-0.0811455202897187
"mean_ppa446","Kalani Sitake","Utah","Other",-0.00102579503020462,-0.00960765167615729,-0.0234354994739383,-0.0129882175396135
"mean_ppa447","Kane Ioane","Boise State","White",0.0347226192400069,0.0137631236456709,0.0206501222390897,0.0067823607423726
"mean_ppa448","Kane Wommack","Indiana","White",0.0138801105250804,0.00312507667726464,0.0292505212770498,-0.0107035063477856
"mean_ppa449","Kane Wommack","South Alabama","White",0.005971338081215,-0.00887926388172328,-0.00170101528543412,-0.0118246984909899
"mean_ppa450","Keith Burns","San José State","White",0.0827568655235239,-0.0025850252661932,-0.00859010511958072,0.0592363962005957
"mean_ppa451","Keith Dudzinski","Maryland","White",-0.112265911576392,-0.0348445989945017,-0.00706209096147073,-0.0389566302221439
"mean_ppa452","Keith Heyward","Oregon","Black",0.0916270682903248,0.0371425515024842,-0.000181584873408025,0.0261046766407411
"mean_ppa453","Keith Patterson","Arizona State","White",-0.195540099974001,-0.0534082176809793,-0.015639723127926,-0.0580784515721916
"mean_ppa454","Keith Patterson","Pittsburgh","White",-0.0108867496079656,-0.0173330691179385,-0.0200723901396739,-0.0495090027375156
"mean_ppa455","Keith Patterson","Texas Tech","White",-0.00819486381542542,0.0185991327223854,-0.00291375391135953,0.0111507499979507
"mean_ppa456","Keith Patterson","Tulsa","White",-0.0379432261702406,-0.0483426884814637,0.0740082240313698,-0.0362203945757406
"mean_ppa457","Keith Patterson","Utah State","White",0.103520976898584,0.0376823561478704,-0.0178314159711065,0.00836760232378653
"mean_ppa458","Keith Patterson","West Virginia","White",-0.111025298726888,-0.0538700501104364,-0.00614227604100567,-0.101803050869273
