"","College","Coach","Role","Race","year_start","year_end","duration"
"334","Notre Dame","Charlie Weis","Head Coach","White",2005,2009,5
"335","Notre Dame","Brian Kelly","Head Coach","White",2010,2021,12
"336","Ohio","Jim Grobe","Head Coach","White",2000,2000,1
"337","Ohio","Brian Knorr","Head Coach","White",2001,2004,4
"338","Ohio","Frank Solich","Head Coach","White",2005,2020,16
"339","Ohio","Tim Albin","Head Coach","White",2021,2021,1
"340","Ohio State","John Cooper","Head Coach","White",2000,2000,1
"341","Ohio State","Jim Tressel","Head Coach","White",2001,2010,10
"342","Ohio State","Luke Fickell","Head Coach","White",2011,2011,1
"343","Ohio State","Urban Meyer","Head Coach","White",2012,2018,7
"344","Ohio State","Ryan Day","Head Coach","White",2019,2021,3
"345","Oklahoma","Bob Stoops","Head Coach","White",2000,2016,17
"346","Oklahoma","Lincoln Riley","Head Coach","White",2017,2021,5
"347","Oklahoma State","Bob Simmons","Head Coach","Black",2000,2000,1
"348","Oklahoma State","Les Miles","Head Coach","White",2001,2004,4
"349","Oklahoma State","Mike Gundy","Head Coach","White",2005,2021,17
"350","Old Dominion","Bobby Wilder","Head Coach","White",2014,2019,6
"351","Old Dominion","Ricky Rahne","Head Coach","White",2020,2021,2
"352","Ole Miss","David Cutcliffe","Head Coach","White",2000,2004,5
"353","Ole Miss","Ed Orgeron","Head Coach","White",2005,2007,3
"354","Ole Miss","Houston Nutt","Head Coach","White",2008,2011,4
"355","Ole Miss","Hugh Freeze","Head Coach","White",2012,2016,5
"356","Ole Miss","Matt Luke","Head Coach","White",2017,2019,3
"357","Ole Miss","Lane Kiffin","Head Coach","White",2020,2021,2
"358","Oregon","Mike Bellotti","Head Coach","White",2000,2008,9
"359","Oregon","Chip Kelly","Head Coach","White",2009,2012,4
"360","Oregon","Mark Helfrich","Head Coach","White",2013,2016,4
"361","Oregon","Willie Taggart","Head Coach","Black",2017,2017,1
"362","Oregon","Mario Cristobal","Head Coach","Other",2018,2021,4
"363","Oregon State","Dennis Erickson","Head Coach","White",2000,2002,3
"364","Oregon State","Mike Riley","Head Coach","White",2003,2014,12
"365","Oregon State","Gary Andersen","Head Coach","White",2015,2017,3
"366","Oregon State","Jonathan Smith","Head Coach","White",2018,2021,4
"367","Penn State","Joe Paterno","Head Coach","White",2000,2011,12
"368","Penn State","Bill O'Brien","Head Coach","White",2012,2013,2
"369","Penn State","James Franklin","Head Coach","Black",2014,2021,8
"370","Pittsburgh","Walt Harris","Head Coach","White",2000,2004,5
"371","Pittsburgh","Dave Wannstedt","Head Coach","White",2005,2010,6
"372","Pittsburgh","Todd Graham","Head Coach","White",2011,2011,1
"373","Pittsburgh","Paul Chryst","Head Coach","White",2012,2014,3
"374","Pittsburgh","Pat Narduzzi","Head Coach","White",2015,2021,7
"375","Purdue","Joe Tiller","Head Coach","White",2000,2008,9
"376","Purdue","Danny Hope","Head Coach","White",2009,2012,4
"377","Purdue","Darrell Hazell","Head Coach","Black",2013,2016,4
"378","Purdue","Jeff Brohm","Head Coach","White",2017,2021,5
"379","Rice","Ken Hatfield","Head Coach","White",2000,2005,6
"380","Rice","Todd Graham","Head Coach","White",2006,2006,1
"381","Rice","David Bailiff","Head Coach","White",2007,2017,11
"382","Rice","Mike Bloomgren","Head Coach","White",2018,2021,4
"383","Rutgers","Terry Shea","Head Coach","White",2000,2000,1
"384","Rutgers","Greg Schiano","Head Coach","White",2001,2021,21
"385","Rutgers","Kyle Flood","Head Coach","White",2012,2015,4
"386","Rutgers","Chris Ash","Head Coach","White",2016,2019,4
"387","San Diego State","Ted Tollner","Head Coach","White",2000,2001,2
"388","San Diego State","Tom Craft","Head Coach","White",2002,2005,4
"389","San Diego State","Chuck Long","Head Coach","White",2006,2008,3
"390","San Diego State","Brady Hoke","Head Coach","White",2009,2021,13
"391","San Diego State","Rocky Long","Head Coach","White",2011,2019,9
"392","San José State","Dave Baldwin","Head Coach","White",2000,2000,1
"393","San José State","Fitz Hill","Head Coach","Black",2001,2004,4
"394","San José State","Dick Tomey","Head Coach","White",2005,2009,5
"395","San José State","Mike MacIntyre","Head Coach","White",2010,2012,3
"396","San José State","Ron Caragher","Head Coach","White",2013,2016,4
"397","San José State","Brent Brennan","Head Coach","White",2017,2021,5
"398","SMU","Mike Cavan","Head Coach","White",2000,2001,2
"399","SMU","Phil Bennett","Head Coach","White",2002,2007,6
"400","SMU","June Jones","Head Coach","White",2008,2014,7
"401","SMU","Chad Morris","Head Coach","White",2015,2017,3
"402","SMU","Sonny Dykes","Head Coach","White",2018,2021,4
"403","South Alabama","Joey Jones","Head Coach","White",2012,2017,6
"404","South Alabama","Steve Campbell","Head Coach","White",2018,2020,3
"405","South Alabama","Kane Wommack","Head Coach","White",2021,2021,1
"406","South Carolina","Lou Holtz","Head Coach","White",2000,2004,5
"407","South Carolina","Steve Spurrier","Head Coach","White",2005,2015,11
"408","South Carolina","Will Muschamp","Head Coach","White",2016,2020,5
"409","South Carolina","Shane Beamer","Head Coach","White",2021,2021,1
"410","South Florida","Jeff Scott","Head Coach","White",2020,2021,2
"411","Southern Mississippi","Jeff Bower","Head Coach","White",2000,2007,8
"412","Southern Mississippi","Larry Fedora","Head Coach","White",2008,2011,4
"413","Southern Mississippi","Ellis Johnson","Head Coach","White",2012,2012,1
"414","Southern Mississippi","Todd Monken","Head Coach","White",2013,2015,3
"415","Southern Mississippi","Jay Hopson","Head Coach","White",2016,2020,5
"416","Southern Mississippi","Will Hall","Head Coach","White",2021,2021,1
"417","Stanford","Tyrone Willingham","Head Coach","Black",2000,2001,2
"418","Stanford","Buddy Teevens","Head Coach","White",2002,2004,3
