"","College","Coach","Role","Race","year_start","year_end"
"387","San Diego State","Ted Tollner","Head Coach","White",2000,2001
"388","San Diego State","Tom Craft","Head Coach/Offensive Coordinator","White",2002,2005
"389","San Diego State","Chuck Long","Head Coach","White",2006,2008
"390","San Diego State","Brady Hoke","Head Coach","White",2009,2021
"391","San Diego State","Rocky Long","Head Coach/Defensive Coordinator","White",2011,2019
"392","San José State","Dave Baldwin","Head Coach","White",2000,2000
"393","San José State","Fitz Hill","Head Coach","Black",2001,2004
"394","San José State","Dick Tomey","Head Coach","White",2005,2009
"395","San José State","Mike MacIntyre","Head Coach","White",2010,2012
"396","San José State","Ron Caragher","Head Coach","White",2013,2016
"397","San José State","Brent Brennan","Head Coach","White",2017,2021
"398","SMU","Mike Cavan","Head Coach","White",2000,2001
"399","SMU","Phil Bennett","Head Coach","White",2002,2007
"400","SMU","June Jones","Head Coach/Offensive Coordinator","White",2008,2014
"401","SMU","Chad Morris","Head Coach","White",2015,2017
"402","SMU","Sonny Dykes","Head Coach","White",2018,2021
"403","South Alabama","Joey Jones","Head Coach","White",2012,2017
"404","South Alabama","Steve Campbell","Head Coach","White",2018,2020
"405","South Alabama","Kane Wommack","Head Coach","White",2021,2021
"406","South Carolina","Lou Holtz","Head Coach","White",2000,2004
"407","South Carolina","Steve Spurrier","Head Coach","White",2005,2015
"408","South Carolina","Will Muschamp","Head Coach","White",2016,2020
"409","South Carolina","Shane Beamer","Head Coach","White",2021,2021
"410","South Florida","Jeff Scott","Head Coach","White",2020,2021
"411","Southern Mississippi","Jeff Bower","Head Coach","White",2000,2007
"412","Southern Mississippi","Larry Fedora","Head Coach","White",2008,2011
"413","Southern Mississippi","Ellis Johnson","Head Coach","White",2012,2012
"414","Southern Mississippi","Todd Monken","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2013,2015
"415","Southern Mississippi","Jay Hopson","Head Coach","White",2016,2020
"416","Southern Mississippi","Will Hall","Head Coach","White",2021,2021
"417","Stanford","Tyrone Willingham","Head Coach","Black",2000,2001
"418","Stanford","Buddy Teevens","Head Coach","White",2002,2004
"419","Stanford","Walt Harris","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2005,2006
"420","Stanford","Jim Harbaugh","Head Coach/Quarterbacks Coach","White",2007,2010
"421","Stanford","David Shaw","Head Coach","Black",2011,2021
"422","Syracuse","Paul Pasqualoni","Head Coach","White",2000,2004
"423","Syracuse","Greg Robinson","Head Coach/Defensive Coordinator","White",2005,2008
"424","Syracuse","Doug Marrone","Head Coach","White",2009,2012
"425","Syracuse","Scott Shafer","Head Coach","White",2013,2015
"426","Syracuse","Dino Babers","Head Coach","Black",2016,2021
"427","TCU","Dennis Franchione","Head Coach","White",2000,2000
"428","TCU","Gary Patterson","Head Coach","White",2001,2021
"429","Temple","Bobby Wallace","Head Coach","White",2000,2005
"430","Temple","Al Golden","Head Coach","White",2006,2010
"431","Temple","Steve Addazio","Head Coach","White",2011,2012
