"","College","Season","Coach","username","Coach.1","Role","Race"
"210","Ball State",2003,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"211","Ball State",2004,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"212","Ball State",2005,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"213","Ball State",2006,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"214","Ball State",2007,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"215","Ball State",2008,"Brady Hoke","brady-hoke","Brady Hoke","Head Coach","White"
"216","Ball State",2009,"Stan Parrish","stan-parrish","Stan Parrish","Head Coach","White"
"217","Ball State",2010,"Stan Parrish","stan-parrish","Stan Parrish","Head Coach","White"
"218","Ball State",2011,"Pete Lembo","pete-lembo","Pete Lembo","Head Coach","White"
"219","Ball State",2012,"Pete Lembo","pete-lembo","Pete Lembo","Head Coach","White"
"220","Ball State",2013,"Pete Lembo","pete-lembo","Pete Lembo","Head Coach","White"
"221","Ball State",2014,"Pete Lembo","pete-lembo","Pete Lembo","Head Coach","White"
"222","Ball State",2015,"Pete Lembo","pete-lembo","Pete Lembo","Head Coach","White"
"223","Ball State",2016,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"224","Ball State",2017,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"225","Ball State",2018,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"226","Ball State",2019,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"227","Ball State",2020,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"228","Ball State",2021,"Mike Neu","mike-neu","Mike Neu","Head Coach","White"
"229","Baylor",2000,"Kevin Steele","kevin-steele","Kevin Steele","Head Coach","White"
"230","Baylor",2001,"Kevin Steele","kevin-steele","Kevin Steele","Head Coach","White"
"231","Baylor",2002,"Kevin Steele","kevin-steele","Kevin Steele","Head Coach","White"
"232","Baylor",2003,"Guy Morriss","guy-morriss","Guy Morriss","Head Coach","White"
"233","Baylor",2004,"Guy Morriss","guy-morriss","Guy Morriss","Head Coach","White"
"234","Baylor",2005,"Guy Morriss","guy-morriss","Guy Morriss","Head Coach","White"
"235","Baylor",2006,"Guy Morriss","guy-morriss","Guy Morriss","Head Coach/Offensive Line Coach","White"
"236","Baylor",2007,"Guy Morriss","guy-morriss","Guy Morriss","Head Coach/Offensive Line Coach","White"
"237","Baylor",2008,"Art Briles","art-briles","Art Briles","Head Coach","White"
"238","Baylor",2009,"Art Briles","art-briles","Art Briles","Head Coach","White"
"239","Baylor",2010,"Art Briles","art-briles","Art Briles","Head Coach","White"
"240","Baylor",2011,"Art Briles","art-briles","Art Briles","Head Coach","White"
"241","Baylor",2012,"Art Briles","art-briles","Art Briles","Head Coach","White"
"242","Baylor",2013,"Art Briles","art-briles","Art Briles","Head Coach","White"
"243","Baylor",2014,"Art Briles","art-briles","Art Briles","Head Coach","White"
"244","Baylor",2015,"Art Briles","art-briles","Art Briles","Head Coach","White"
"245","Baylor",2016,"Jim Grobe","jim-grobe","Jim Grobe","Head Coach","White"
"246","Baylor",2017,"Matt Rhule","matt-rhule","Matt Rhule","Head Coach","White"
"247","Baylor",2018,"Matt Rhule","matt-rhule","Matt Rhule","Head Coach","White"
"248","Baylor",2019,"Matt Rhule","matt-rhule","Matt Rhule","Head Coach","White"
"249","Baylor",2020,"Dave Aranda","dave-aranda","Dave Aranda","Head Coach","Other"
"250","Baylor",2021,"Dave Aranda","dave-aranda","Dave Aranda","Head Coach","Other"
"251","Boise State",2000,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
"252","Boise State",2001,"Dan Hawkins","dan-hawkins","Dan Hawkins","Head Coach","White"
"253","Boise State",2002,"Dan Hawkins","dan-hawkins","Dan Hawkins","Head Coach","White"
"254","Boise State",2003,"Dan Hawkins","dan-hawkins","Dan Hawkins","Head Coach","White"
"255","Boise State",2004,"Dan Hawkins","dan-hawkins","Dan Hawkins","Head Coach","White"
"256","Boise State",2005,"Dan Hawkins","dan-hawkins","Dan Hawkins","Head Coach","White"
"257","Boise State",2006,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"258","Boise State",2007,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"259","Boise State",2008,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"260","Boise State",2009,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"261","Boise State",2010,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"262","Boise State",2011,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"263","Boise State",2012,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"264","Boise State",2013,"Chris Petersen","chris-petersen","Chris Petersen","Head Coach","White"
"265","Boise State",2014,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"266","Boise State",2015,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"267","Boise State",2016,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"268","Boise State",2017,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"269","Boise State",2018,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"270","Boise State",2019,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"271","Boise State",2020,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"272","Boise State",2021,"Andy Avalos","andy-avalos","Andy Avalos","Head Coach","White"
"273","Boston College",2000,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"274","Boston College",2001,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"275","Boston College",2002,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"276","Boston College",2003,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"277","Boston College",2004,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"278","Boston College",2005,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"279","Boston College",2006,"Tom O'Brien","tom-obrien","Tom O'Brien","Head Coach","White"
"280","Boston College",2007,"Jeff Jagodzinski","jeff-jagodzinski","Jeff Jagodzinski","Head Coach","White"
"281","Boston College",2008,"Jeff Jagodzinski","jeff-jagodzinski","Jeff Jagodzinski","Head Coach","White"
"282","Boston College",2009,"Frank Spaziani","frank-spaziani","Frank Spaziani","Head Coach","White"
"283","Boston College",2010,"Frank Spaziani","frank-spaziani","Frank Spaziani","Head Coach","White"
"284","Boston College",2011,"Frank Spaziani","frank-spaziani","Frank Spaziani","Head Coach","White"
"285","Boston College",2012,"Frank Spaziani","frank-spaziani","Frank Spaziani","Head Coach","White"
"286","Boston College",2013,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"287","Boston College",2014,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"288","Boston College",2015,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"289","Boston College",2016,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"290","Boston College",2017,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"291","Boston College",2018,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"292","Boston College",2019,"Steve Addazio","steve-addazio","Steve Addazio","Head Coach","White"
"293","Boston College",2020,"Jeff Hafley","jeff-hafley","Jeff Hafley","Head Coach","White"
"294","Boston College",2021,"Jeff Hafley","jeff-hafley","Jeff Hafley","Head Coach","White"
"295","Bowling Green",2000,"Gary Blackney","gary-blackney","Gary Blackney","Head Coach","White"
"296","Bowling Green",2001,"Urban Meyer","urban-meyer","Urban Meyer","Head Coach","White"
"297","Bowling Green",2002,"Urban Meyer","urban-meyer","Urban Meyer","Head Coach","White"
"298","Bowling Green",2003,"Gregg Brandon","gregg-brandon","Gregg Brandon","Head Coach","White"
"299","Bowling Green",2004,"Gregg Brandon","gregg-brandon","Gregg Brandon","Head Coach","White"
"300","Bowling Green",2005,"Gregg Brandon","gregg-brandon","Gregg Brandon","Head Coach","White"
"301","Bowling Green",2006,"Gregg Brandon","gregg-brandon","Gregg Brandon","Head Coach","White"
"302","Bowling Green",2007,"Gregg Brandon","gregg-brandon","Gregg Brandon","Head Coach","White"
