"","College","Season","Coach","username","Coach.1","Role","Race"
"204","Auburn",2010,"Ted Roof","ted-roof","Ted Roof","Defensive Coordinator/Linebackers Coach","White"
"205","Auburn",2011,"Ted Roof","ted-roof","Ted Roof","Defensive Coordinator/Linebackers Coach","White"
"206","Auburn",2012,"Brian VanGorder","brian-vangorder","Brian VanGorder","Defensive Coordinator","White"
"207","Auburn",2013,"Ellis Johnson","ellis-johnson","Ellis Johnson","Defensive Coordinator/Linebackers Coach","White"
"208","Auburn",2014,"Charlie Harbison","charlie-harbison","Charlie Harbison","Defensive Coordinator/Safeties Coach","Black"
"209","Auburn",2014,"Ellis Johnson","ellis-johnson","Ellis Johnson","Defensive Coordinator/Linebackers Coach","White"
"210","Auburn",2015,"Will Muschamp","will-muschamp","Will Muschamp","Defensive Coordinator","White"
"211","Auburn",2016,"Kevin Steele","kevin-steele","Kevin Steele","Defensive Coordinator","White"
"212","Auburn",2017,"Kevin Steele","kevin-steele","Kevin Steele","Defensive Coordinator","White"
"213","Auburn",2018,"Kevin Steele","kevin-steele","Kevin Steele","Defensive Coordinator","White"
"214","Auburn",2019,"Kevin Steele","kevin-steele","Kevin Steele","Defensive Coordinator","White"
"215","Auburn",2020,"Kevin Steele","kevin-steele","Kevin Steele","Defensive Coordinator","White"
"216","Auburn",2021,"Derek Mason","derek-mason","Derek Mason","Defensive Coordinator","Black"
"217","Ball State",2000,"Bob Bartolomeo","bob-bartolomeo","Bob Bartolomeo","Defensive Coordinator/Inside Linebackers Coach","White"
"218","Ball State",2001,"Bob Bartolomeo","bob-bartolomeo","Bob Bartolomeo","Defensive Coordinator/Inside Linebackers Coach","White"
"219","Ball State",2002,"Bob Bartolomeo","bob-bartolomeo","Bob Bartolomeo","Defensive Coordinator/Inside Linebackers Coach","White"
"220","Ball State",2003,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"221","Ball State",2004,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"222","Ball State",2005,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"223","Ball State",2006,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"224","Ball State",2007,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"225","Ball State",2008,"Mark Smith","mark-smith","Mark Smith","Defensive Coordinator/Linebackers Coach","White"
"226","Ball State",2009,"Doug Graber","doug-graber","Doug Graber","Defensive Coordinator","White"
"227","Ball State",2010,"Jay Hood","jay-hood","Jay Hood","Defensive Coordinator","White"
"228","Ball State",2011,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator/Linebackers Coach","White"
"229","Ball State",2012,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator/Linebackers Coach","White"
"230","Ball State",2013,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator/Inside Linebackers Coach","White"
"231","Ball State",2014,"Kevin Kelly","kevin-kelly","Kevin Kelly","Defensive Coordinator/Inside Linebackers Coach","White"
"232","Ball State",2015,"Kevin Kelly","kevin-kelly","Kevin Kelly","Defensive Coordinator/Linebackers Coach","White"
"233","Ball State",2016,"Tim Daoust","tim-daoust","Tim Daoust","Defensive Coordinator","White"
"234","Ball State",2017,"David Elson","david-elson","David Elson","Defensive Coordinator","White"
"235","Ball State",2018,"David Elson","david-elson","David Elson","Defensive Coordinator","White"
"236","Ball State",2019,"David Elson","david-elson","David Elson","Defensive Coordinator","White"
"237","Ball State",2019,"Tyler Stockton","tyler-stockton","Tyler Stockton","Defensive Coordinator/Inside Linebackers Coach","Black"
"238","Ball State",2020,"Tyler Stockton","tyler-stockton","Tyler Stockton","Defensive Coordinator/Inside Linebackers Coach","Black"
"239","Ball State",2021,"Tyler Stockton","tyler-stockton","Tyler Stockton","Defensive Coordinator/Inside Linebackers Coach","Black"
"240","Baylor",2000,"Brick Haley","brick-haley","Brick Haley","Defensive Coordinator/Linebackers Coach","Black"
"241","Baylor",2001,"Brick Haley","brick-haley","Brick Haley","Defensive Coordinator/Linebackers Coach","Black"
"242","Baylor",2002,"Bob Trott","bob-trott","Bob Trott","Defensive Coordinator/Defensive Backs Coach","White"
"243","Baylor",2004,"Bill Bradley","bill-bradley","Bill Bradley","Defensive Coordinator","White"
"244","Baylor",2005,"Bill Bradley","bill-bradley","Bill Bradley","Defensive Coordinator","White"
"245","Baylor",2006,"Bill Bradley","bill-bradley","Bill Bradley","Defensive Coordinator","White"
"246","Baylor",2007,"Larry Hoefer","larry-hoefer","Larry Hoefer","Defensive Coordinator/Safeties Coach","White"
"247","Baylor",2008,"Brian Norwood","brian-norwood","Brian Norwood","Defensive Coordinator","Black"
"248","Baylor",2009,"Brian Norwood","brian-norwood","Brian Norwood","Defensive Coordinator","Black"
"249","Baylor",2010,"Brian Norwood","brian-norwood","Brian Norwood","Defensive Coordinator","Black"
"250","Baylor",2011,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"251","Baylor",2012,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
