"","College","Coach","Role","Race","year_start","year_end"
"269","Florida","Kurt Roper","Offensive Coordinator/Quarterbacks Coach","White",2014,2014
"270","Florida","Doug Nussmeier","Offensive Coordinator/Quarterbacks Coach","White",2015,2017
"271","Florida","Billy Gonzales","Offensive Coordinator/Wide Receivers Coach","Other",2018,2019
"272","Florida","John Hevesy","Offensive Coordinator/Offensive Line Coach","White",2018,2019
"273","Florida","Brian Johnson","Offensive Coordinator/Quarterbacks Coach","Black",2020,2020
"274","Florida Atlantic","Michael Johnson","Offensive Coordinator/Quarterbacks Coach","Black",2021,2021
"275","Florida International","Andrew Breiner","Wide Receivers Coach/Offensive Coordinator","White",2021,2021
"276","Florida State","Mark Richt","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"277","Florida State","Jeff Bowden","Offensive Coordinator/Wide Receivers Coach","White",2001,2006
"278","Florida State","Jimbo Fisher","Offensive Coordinator/Quarterbacks Coach","White",2007,2009
"279","Florida State","James Coley","Offensive Coordinator/Tight Ends Coach","White",2010,2012
"280","Florida State","Lawrence Dawsey","Offensive Coordinator/Wide Receivers Coach","Black",2014,2017
"281","Florida State","Randy Sanders","Offensive Coordinator/Quarterbacks Coach","White",2014,2017
"282","Florida State","Walt Bell","Offensive Coordinator/Quarterbacks Coach","White",2018,2018
"283","Florida State","Kendal Briles","Offensive Coordinator/Quarterbacks Coach","White",2019,2019
"284","Florida State","Kenny Dillingham","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"285","Fresno State","Andy Ludwig","Offensive Coordinator/Quarterbacks Coach","White",2000,2001
"286","Fresno State","Frank Cignetti Jr.","Offensive Coordinator/Quarterbacks Coach","White",2002,2005
"287","Fresno State","Steve Hagen","Offensive Coordinator/Quarterbacks Coach","White",2006,2006
"288","Fresno State","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"289","Fresno State","Doug Nussmeier","Offensive Coordinator/Quarterbacks Coach","White",2008,2008
"290","Fresno State","Dave Schramm","Offensive Coordinator/Quarterbacks Coach","White",2012,2015
"291","Fresno State","Eric Kiesau","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"292","Georgia","Neil Callaway","Offensive Coordinator/Offensive Line Coach","White",2001,2006
"293","Georgia","Mike Bobo","Offensive Coordinator/Quarterbacks Coach","White",2007,2014
"294","Georgia","Brian Schottenheimer","Offensive Coordinator/Quarterbacks Coach","White",2015,2015
"295","Georgia","Jim Chaney","Offensive Coordinator/Quarterbacks Coach","White",2016,2018
"296","Georgia","James Coley","Offensive Coordinator/Quarterbacks Coach","White",2018,2019
"297","Georgia","Todd Monken","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"298","Georgia Southern","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White",2014,2021
"299","Georgia Southern","David Dean","Offensive Coordinator/Wide Receivers Coach","White",2016,2016
"300","Georgia Southern","Rance Gillespie","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"301","Georgia Southern","Bryan Cook","Offensive Coordinator/Quarterbacks Coach","White",2017,2017
"302","Georgia Southern","Bob DeBesse","Offensive Coordinator/Wide Receivers Coach","White",2018,2020
"303","Georgia State","Jeff Jagodzinski","Offensive Coordinator","White",2013,2015
