"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"741","Bob Shoop",0,4.88679733962753e-07,3,0.000208335938096221,"White",TRUE
"742","Zach Arnett",0,4.88679733962753e-07,2,0.000237728257495172,"White",TRUE
"743","Matt Eberflus",0,4.88679733962753e-07,1,7.60432602952637e-05,"White",TRUE
"744","Dave Steckel",0,4.88679733962753e-07,1,5.7032445221434e-05,"White",TRUE
"745","DeMontie Cross",0,4.88679733962753e-07,2,0.000123519737974918,"Black",TRUE
"746","Steve Wilks",0,4.88679733962753e-07,1,7.03828327128952e-05,"Black",TRUE
"747","Buddy Green",0,4.88679733962753e-07,3,0.000153435802785595,"White",TRUE
"748","Dale Pehrson",0,4.88679733962753e-07,1,1.54601753199723e-05,"White",TRUE
"749","Brian Newberry",0,4.88679733962753e-07,1,1.54601753199735e-05,"White",TRUE
"750","Dave Huxtable",0,4.88679733962753e-07,4,0.000787193798042296,"White",TRUE
"751","Tony Gibson",0,4.88679733962753e-07,2,0.000477579621145055,"White",TRUE
"752","John Papuchis",0,4.88679733962753e-07,2,0.00735707563341214,"White",TRUE
"753","Mark Banker",0,4.88679733962753e-07,2,0.000215952146109475,"White",TRUE
"754","Erik Chinander",0,4.88679733962753e-07,1,0.000841137004893365,"White",TRUE
"755","Jeff Mills",0,4.88679733962753e-07,2,3.78612936032688e-05,"White",TRUE
"756","Barry Sacks",0,4.88679733962753e-07,2,7.65624447962568e-05,"White",TRUE
"757","Dave Fipp",0,4.88679733962753e-07,2,2.28350421867608e-05,"White",TRUE
"758","Ken Wilson",0,4.88679733962753e-07,2,4.18976467636419e-05,"White",TRUE
"759","Nigel Burton",0,4.88679733962753e-07,1,2.97733893178803e-05,"Black",TRUE
"760","Mike Bradeson",0,4.88679733962753e-07,2,1.59080075531688e-05,"White",TRUE
"761","Bill Teerlinck",0,4.88679733962753e-07,1,0.000132494069113263,"White",TRUE
"762","Scott Boone",0,4.88679733962753e-07,1,9.93705518349384e-05,"White",TRUE
"763","Osia Lewis",0,4.88679733962753e-07,2,0.000412931399216757,"Black",TRUE
"764","Jordan Peterson",0,4.88679733962753e-07,1,1.43966420874046e-05,"White",TRUE
